TC_NUMBER,TEST_DESC,PRIORITY,STEPNUMBER,LABEL,PROTOCOL,METHOD,API_URL,API_RESOUCES,API_DATA,HEADER,EXPECTED_RESPONSE_CODE,EXPECTED_RESPONSE_MESSAGE,EXPECTED_RESPONSE_DATA,REPONSE_VALUE_EXTRACTION,EXTRACTED_VALUE,GATEWAY_IP,GATEWAY_PORT,WAIT_TIME_SEC,USER_METHOD
ID-MA-12776,Add Text Widget for Machine,P1,1,AddTextWidget,https,POST,${MA_BASE_URL},${MA_ENDPOINT},"{""query"":""mutation createDashboardWidget($dashboardId: ID!, $widgetType: WidgetType!, $position: LayoutPositionInput, $size: LayoutSizeInput, $title: ShortString!) {  createWidgetForDashboard(dashboardId: $dashboardId, widgetType: $widgetType, position: $position, size: $size, title: $title) {    id    type    title  }}"",""variables"":{""dashboardId"":""${dashboard_Id}"",""widgetType"":""TEXT"",""position"":{""x"":0,""y"":0},""size"":{""rows"":2,""columns"":2},""title"":""Text""}}","Content-Type: application/json,accept: application/json,Authorization: ${token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}/responseData/response-AddTextWidget-run.json,,)}",$.data.createWidgetForDashboard.id,text_Id,,,,
ID-MA-12777,Add Map Widget for Machine,P1,1,AddMapWidget,https,POST,${MA_BASE_URL},${MA_ENDPOINT},"{""query"":""mutation createDashboardWidget($dashboardId: ID!, $widgetType: WidgetType!, $position: LayoutPositionInput, $size: LayoutSizeInput, $title: ShortString!) {  createWidgetForDashboard(dashboardId: $dashboardId, widgetType: $widgetType, position: $position, size: $size, title: $title) {    id    type    title  }}"",""variables"":{""dashboardId"":""${dashboard_Id}"",""widgetType"":""GEOLOCATION_MAP"",""position"":{""x"":0,""y"":0},""size"":{""rows"":2,""columns"":2},""title"":""Map""}}","Content-Type: application/json,accept: application/json,Authorization: ${token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}/responseData/response-AddMapWidget-run.json,,)}",$.data.createWidgetForDashboard.id,map_Id,,,,
ID-MA-12703,Add Doughnut Widget for Machine,P1,1,AddDoughnutWidget,https,POST,${MA_BASE_URL},${MA_ENDPOINT},"{""query"":""mutation createDashboardWidget($dashboardId: ID!, $widgetType: WidgetType!, $position: LayoutPositionInput, $size: LayoutSizeInput, $title: ShortString!) {  createWidgetForDashboard(dashboardId: $dashboardId, widgetType: $widgetType, position: $position, size: $size, title: $title) {    id    type    title  }}"",""variables"":{""dashboardId"":""${dashboard_Id}"",""widgetType"":""DOUGHNUT"",""position"":{""x"":0,""y"":0},""size"":{""rows"":2,""columns"":2},""title"":""Doughnut""}}","Content-Type: application/json,accept: application/json,Authorization: ${token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}/responseData/response-AddDoughnutWidget-run.json,,)}",$.data.createWidgetForDashboard.id,doughnut_Id,,,,
ID-MA-12810,Rename Organization for Machine,P1,1,RenameOrg,https,POST,${MA_BASE_URL},${MA_ENDPOINT},"{""query"":""mutation renameOrganization($name: ShortString!) {  renameOrganization(name: $name) {    id    name  }}"",""variables"":{""name"":""apiOrgAuto1 renamed Team""}}","Content-Type: application/json,accept: application/json,Authorization: ${token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}/responseData/response-RenameOrg-run.json,,)}",$.data.renameOrganization.id,rename_id,,,,
ID-MA-12811,Select an Organization for Machine,P1,1,SelectOrg,https,POST,${MA_BASE_URL},${MA_ENDPOINT},"{""query"":""mutation selectOrganization($organizationId: ID!) {  selectOrganization(organizationId: $organizationId) {    id    name  }}"",""variables"":{""organizationId"":""${org_id}""}}","Content-Type: application/json,accept: application/json,Authorization: ${token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}/responseData/response-SelectOrg-run.json,,)}",$.data.selectOrganization.id,select_id,,,,
ID-MA-12800,Set Demo Organization for Machine,P1,1,SetDemoOrg,https,POST,${MA_BASE_URL},${MA_ENDPOINT},"{""query"":""mutation setDemoOrganization($active: Boolean!) {  setDemoOrganization(active: $active) {    id    name    admins {      id    }    members {      id    }    customers {      id    }    purchaser {      id    }    mailingLists {      id    }    logoUrl    theme {      themeId      navbarColor    }    pendingInvitations {      id    }    deviceCatalogs {      id    }    licenses {      id    }  }}"",""variables"":{""active"":true}}","Content-Type: application/json,accept: application/json,Authorization: ${token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}/responseData/response-SetDemoOrg-run.json,,)}",$.data.setDemoOrganization.id;$.data.setDemoOrganization.deviceCatalogs[0].id;$.data.setDemoOrganization.deviceCatalogs[1].id,demoOrg_Id;demoCat_Id_1;demoCat_Id_2,,,,
ID-MA-12801,Unset Demo Organization for Machine,P1,1,UnsetDemoOrg,https,POST,${MA_BASE_URL},${MA_ENDPOINT},"{""query"":""mutation setDemoOrganization($active: Boolean!) {  setDemoOrganization(active: $active) {    id    name    admins {      id    }    members {      id    }    customers {      id    }    purchaser {      id    }    mailingLists {      id    }    logoUrl    theme {      themeId      navbarColor    }    pendingInvitations {      id    }    deviceCatalogs {      id    }    licenses {      id    }  }}"",""variables"":{""active"":false}}","Content-Type: application/json,accept: application/json,Authorization: ${token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}/responseData/response-UnsetDemoOrg-run.json,,)}",,,,,,
ID-MA-12489,Unset purchaser for Organization,P1,1,UnsetPurchaser,https,POST,${MA_BASE_URL},${MA_ENDPOINT},"{""query"":""mutation removeOrganizationPurchaser { removeOrganizationPurchaser  {id    name    purchaser { id  profile {        email  company   phoneNumber  name   givenName  familyName picture } }  }}"",""variables"":{}}","Content-Type: application/json,accept: application/json,Authorization: ${token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}/responseData/response-UnsetPurchaser-run.json,,)}",,,,,4,
ID-MA-12701,Delete Widget for Machine,P1,1,DeleteWidget,https,POST,${MA_BASE_URL},${MA_ENDPOINT},"{""query"":""mutation removeWidget($widgetId: ID!) {  removeWidget(widgetId: $widgetId) {    id    name  }}"",""variables"":{""widgetId"":""${doughnut_Id}""}}","Content-Type: application/json,accept: application/json,Authorization: ${token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}/responseData/response-DeleteWidget-run.json,,)}",$.data.removeWidget.id,removeWidget_Id,,,2,
ID-MA-12472,Delete Task for Machine Type,P1,1,DeleteTasks,https,POST,${MA_BASE_URL},${MA_ENDPOINT},"{""query"":""mutation removeTask($taskId: ID!) {  removeTask(taskId: $taskId)} "",""variables"":{""taskId"":""${task_id}""}}","Content-Type: application/json,accept: application/json,Authorization: ${token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}/responseData/response-DeleteTasks-run.json,,)}",,,,,2,
ID-MA-12442,Delete Machine,P1,1,DeleteMachine,https,POST,${MA_BASE_URL},${MA_ENDPOINT},"{""query"": ""mutation deleteMachine {deleteMachine(id: \""${mac_id}\"")}""}","Content-Type: application/json,accept: application/json,Authorization: ${token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}/responseData/response-DeleteMachine-run.json,,)}",,,,,2,
ID-MA-12430,Delete Machine Type,P1,1,DeleteMacType,https,POST,${MA_BASE_URL},${MA_ENDPOINT},"{""query"": ""mutation deleteMachineType { deleteMachineType(machineTypeId: \""${mac_type_id}\"") }""}","Content-Type: application/json,accept: application/json,Authorization: ${token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}/responseData/response-DeleteMacType-run.json,,)}",,,,,2,
ID-MA-12432,Delete customer team ,P1,1,DeleteCustomer,https,POST,${MA_BASE_URL},${MA_ENDPOINT},"{""query"": ""mutation deleteCustomer { deleteCustomer(customerId: \""${customer_id}\"") { result existingMachines { id } } }""}","Content-Type: application/json,accept: application/json,Authorization: ${token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}/responseData/response-DeleteCustomer-run.json,,)}",,,,,2,
ID-MA-12433,Delete Organization,P1,1,DeleteOrganization,https,POST,${MA_BASE_URL},${MA_ENDPOINT},"{""query"": ""mutation deleteOrganization { deleteOrganization { existingMachines { id } } } ""}","Content-Type: application/json,accept: application/json,Authorization: ${token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}/responseData/response-DeleteOrganization-run.json,,)}",,,,,2,
