TC_NUMBER,TEST_DESC,PRIORITY,STEPNUMBER,LABEL,PROTOCOL,METHOD,API_URL,API_RESOURCES,API_DATA,HEADER,EXPECTED_RESPONSE_CODE,EXPECTED_RESPONSE_MESSAGE,EXPECTED_RESPONSE_DATA,REPONSE_VALUE_EXTRACTION,EXTRACTED_VALUE,GATEWAY_IP,GATEWAY_PORT,WAIT_TIME_SEC
ENERGY_STREAM_01,Get start date,P1,1,Get start date,https,GET,${SA_BASE_URL},${SA_ENERGYSTREAM_ENDPOINT}/${SA_PROJECT_ID}/streetlights/daily/history/cursor/startdate,,"Content-type: application/json,Accept-Encoding:gzip, deflate, br,Accept:*/*",200,Ok,,,,,,
ENERGY_STREAM_02,Get History data,P1,1,Get History data,https,GET,${SA_BASE_URL},${SA_ENERGYSTREAM_ENDPOINT}/${SA_PROJECT_ID}/streetlights/daily/history/2019/09/26,,"Content-type: application/json,Accept-Encoding:gzip, deflate, br,Accept:*/*",200,Ok,,,,,,
ENERGY_STREAM_03,Stream:get cursor,P2,1,Stream:get cursor,https,GET,${SA_BASE_URL},${SA_ENERGYSTREAM_ENDPOINT}/${SA_PROJECT_ID}/streetlights/daily/0,,"Content-type: application/json,Accept-Encoding:gzip, deflate, br,Accept:*/*",200,Ok,,,,,,
ENERGY_STREAM_04,Energy: Invalid site id,P1,1,Energy: Invalid site id,https,GET,${SA_BASE_URL},${SA_ENERGYSTREAM_ENDPOINT}/238y48ehfih3409klsdjkhjkhjkdh/streetlights/daily/0,,"Content-type: application/json,Accept-Encoding:gzip, deflate, br,Accept:*/*",404,Not Found,,,,,,
